id,area,type,totalcar,totalmotor,totalbike,Pregnancy_First,Handicap_First,type2,serviceTime,totallargemotor,ChargingStation,farecar_weekday,farecar_night,farecar_haliday,farecar_month,faremotor_day/hour,faremotor_month,largemotor_month,parking_fare_classification
TPE0042,中正區,1,15,0,0,0,2,2.0,1,0.0,0.0,200.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0043,大安區,2,22,0,0,0,1,2.0,1,0.0,0.0,120.0,-1.0,-1.0,10000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0044,中正區,2,59,0,0,0,1,2.0,1,0.0,0.0,80.0,-1.0,-1.0,10000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0045,中正區,2,150,0,0,0,3,2.0,1,0.0,0.0,100.0,-1.0,-1.0,10000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0046,松山區,1,111,0,0,3,4,2.0,1,0.0,0.0,40.0,10.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0047,中正區,1,258,172,0,6,8,2.0,1,0.0,0.0,100.0,-1.0,-1.0,10000.0,30.0,3000.0,2000.0,mixed_parking_lot
TPE0048,中正區,1,75,0,0,2,2,2.0,1,0.0,0.0,40.0,10.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0049,士林區,1,85,0,0,4,4,2.0,1,0.0,0.0,100.0,-1.0,-1.0,10000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0050,北投區,1,209,0,0,4,4,2.0,1,0.0,0.0,40.0,20.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0051,松山區,1,310,382,0,12,8,1.0,1,8.0,7.0,40.0,-1.0,50.0,4800.0,10.0,300.0,2400.0,mixed_parking_lot
TPE0052,萬華區,2,107,0,0,0,2,2.0,1,0.0,0.0,120.0,-1.0,-1.0,12000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0053,松山區,2,31,0,0,0,1,2.0,1,0.0,0.0,80.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0054,松山區,1,151,0,0,3,4,1.0,1,0.0,3.0,30.0,-1.0,-1.0,5760.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0055,士林區,1,1506,1131,0,30,34,2.0,1,0.0,0.0,120.0,-1.0,-1.0,8000.0,50.0,-1.0,2000.0,mixed_parking_lot
TPE0056,大同區,1,155,0,0,5,4,1.0,1,0.0,2.0,30.0,-1.0,-1.0,5760.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0057,松山區,2,4,0,0,0,1,2.0,1,0.0,0.0,200.0,-1.0,-1.0,10000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0058,士林區,1,231,0,0,6,5,1.0,1,0.0,4.0,40.0,10.0,50.0,4000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0059,松山區,2,18,0,0,0,1,2.0,0,0.0,0.0,100.0,10000.0,-1.0,10000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0060,中正區,2,207,0,0,4,4,2.0,0,0.0,0.0,50.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0061,中正區,1,288,0,0,0,8,2.0,1,0.0,0.0,160.0,-1.0,-1.0,10500.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0062,士林區,1,528,0,0,12,11,1.0,1,0.0,14.0,40.0,20.0,-1.0,5200.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0063,中山區,2,15,0,0,0,1,2.0,0,0.0,0.0,100.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0064,大安區,1,19,0,0,0,1,2.0,1,0.0,0.0,80.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0065,文山區,1,132,0,0,2,2,2.0,0,0.0,1.0,30.0,10.0,30.0,2000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0066,大安區,2,426,0,0,0,12,2.0,0,0.0,0.0,70.0,-1.0,-1.0,4800.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0067,大安區,2,80,0,0,0,8,2.0,0,0.0,0.0,70.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0068,松山區,1,179,0,0,0,3,2.0,0,0.0,0.0,60.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0069,大安區,2,422,0,0,8,8,2.0,1,0.0,0.0,100.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0070,信義區,1,446,0,0,8,9,1.0,1,0.0,8.0,30.0,10.0,60.0,4200.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0071,信義區,2,141,0,0,2,3,2.0,0,0.0,0.0,50.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0072,信義區,1,226,0,0,4,5,1.0,1,1.0,6.0,30.0,10.0,60.0,5760.0,-1.0,-1.0,2880.0,car_and_largemotor
TPE0073,北投區,1,812,0,0,20,47,2.0,1,0.0,0.0,40.0,20.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0074,南港區,2,25,0,0,0,1,2.0,1,0.0,0.0,60.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0075,信義區,1,209,0,0,4,5,1.0,1,1.0,5.0,40.0,-1.0,50.0,4000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0076,中山區,2,357,0,0,2,9,2.0,1,0.0,4.0,100.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0077,大安區,2,232,0,0,0,6,1.0,0,0.0,0.0,40.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0078,士林區,1,17,0,0,0,1,1.0,0,0.0,4.0,50.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0080,文山區,1,35,0,0,1,1,1.0,1,0.0,2.0,20.0,4800.0,-1.0,100.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0081,中山區,2,38,0,0,0,1,2.0,1,0.0,0.0,100.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0082,松山區,1,716,0,0,14,15,1.0,1,4.0,14.0,30.0,10.0,-1.0,5000.0,-1.0,-1.0,2500.0,car_and_largemotor
TPE0084,北投區,1,291,0,0,0,6,2.0,1,0.0,0.0,180.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0085,中正區,1,96,150,0,2,2,2.0,1,0.0,0.0,100.0,-1.0,-1.0,10000.0,30.0,3000.0,2000.0,mixed_parking_lot
