,小型車日間(元/時或次）,小型車夜間(元/時),小型車假日與特殊日(元/時）,小型車月租(元/月),機車單次(元/時或次),機車月租(元/月),大型重型機車月租(元/月)
643,150.00 ,,,15000.00 ,,,
644,60.00 ,,,6000.00 ,40.00 ,800.00 ,
645,,,,4000.00 ,,,
646,40.00 ,,,9600.00 ,30.00 ,900.00 ,
647,40.00 ,10.00 ,,,,,
648,,,,4000.00 ,,,
649,80.00 ,,,12000.00 ,,,
650,100.00 ,,,6000.00 ,50.00 ,500.00 ,
651,60.00 ,,,10000.00 ,,,
652,200.00 ,,,10000.00 ,,,
653,150.00 ,,,15000.00 ,,,
654,80.00 ,,,8000.00 ,,,
655,30.00 ,,,,,,
656,50.00 ,,,6000.00 ,,,
657,100.00 ,,,8000.00 ,,,
658,40.00 ,,,,,,
659,40.00 ,,,,,,
660,80.00 ,,,,20.00 ,,
661,150.00 ,,,8000.00 ,,,
662,40.00 ,,,8000.00 ,,,
663,,,,8000.00 ,,,
664,100.00 ,,,,,,
665,80.00 ,,,9000.00 ,,,
666,50.00 ,,,,,,
667,100.00 ,,,10000.00 ,,,
668,30.00 ,10.00 ,,3500.00 ,,,
669,30.00 ,10.00 ,,3000.00 ,20.00 ,300.00 ,
670,20.00 ,10.00 ,40.00 ,2500.00 ,20.00 ,300.00 ,
671,30.00 ,,,3000.00 ,10.00 ,300.00 ,1500.00 
672,100.00 ,,,8000.00 ,,,
673,,,,3000.00 ,,,
674,150.00 ,,,15000.00 ,,,
675,120.00 ,,,12000.00 ,,,
676,,,,4500.00 ,,,
677,100.00 ,,,10000.00 ,,300.00 ,
678,160.00 ,,,,,,
679,150.00 ,,,15000.00 ,,,
680,100.00 ,,,12000.00 ,,,
681,20.00 ,,,4800.00 ,20.00 ,300.00 ,
682,,,,,20.00 ,,
683,60.00 ,,,2000.00 ,,,
684,,,,2000.00 ,,,
685,100.00 ,,,8000.00 ,,,
686,200.00 ,,,10000.00 ,,,
687,120.00 ,,,10000.00 ,,,
688,40.00 ,,,1500.00 ,,,
689,100.00 ,60.00 ,100.00 ,8000.00 ,20.00 ,1200.00 ,
690,,,,2000.00 ,,,
691,100.00 ,,,12000.00 ,100.00 ,3000.00 ,
692,100.00 ,,,8000.00 ,,,
693,,,,6500.00 ,,,
694,40.00 ,,,10000.00 ,,,
695,,,,2000.00 ,,,
696,120.00 ,,,,60.00 ,,
697,30.00 ,,50.00 ,4800.00 ,,,
698,20.00 ,,,4800.00 ,,,
699,40.00 ,30.00 ,,4500.00 ,10.00 ,600.00 ,2000.00 
700,2000.00 ,,,2000.00 ,,,
701,40.00 ,,50.00 ,4800.00 ,,,
702,20.00 ,,,4800.00 ,20.00 ,300.00 ,
703,20.00 ,,,4800.00 ,20.00 ,300.00 ,2400.00 
704,100.00 ,,,10000.00 ,,,
705,180.00 ,,,10000.00 ,,,
706,80.00 ,,,,,,
707,,,,2000.00 ,,,
708,40.00 ,20.00 ,,,,,
709,30.00 ,20.00 ,,2500.00 ,10.00 ,300.00 ,1250.00 
710,30.00 ,,,4800.00 ,10.00 ,300.00 ,2400.00 
711,20.00 ,,,4000.00 ,,,
712,,,,2925.00 ,,,
713,20.00 ,,,4800.00 ,,,
714,80.00 ,,,8000.00 ,,,
715,30.00 ,,,7200.00 ,,,
716,120.00 ,,,12000.00 ,,,
717,80.00 ,,,8000.00 ,0.00 ,,
718,,,,6000.00 ,,,
719,200.00 ,,,10000.00 ,,,
720,100.00 ,,,,,,
721,20.00 ,,,3500.00 ,10.00 ,300.00 ,1750.00 
722,30.00 ,,,7200.00 ,,,
723,60.00 ,,,,,,
724,60.00 ,,,,,,
725,30.00 ,,,4000.00 ,,,
726,10.00 ,10.00 ,60.00 ,,20.00 ,,
727,80.00 ,,,8000.00 ,,,
728,30.00 ,,,,0.00 ,,
729,40.00 ,10.00 ,50.00 ,4800.00 ,10.00 ,300.00 ,2400.00 
730,50.00 ,,,6000.00 ,,,
731,100.00 ,,,10000.00 ,,,
732,,,,5000.00 ,,,
733,70.00 ,,,,,,
734,80.00 ,,,8000.00 ,,,
735,100.00 ,,,10000.00 ,,,
736,100.00 ,,,10000.00 ,,,
737,100.00 ,,,10000.00 ,,,
738,30.00 ,20.00 ,20.00 ,4800.00 ,20.00 ,300.00 ,2400.00 
739,80.00 ,,,8000.00 ,,,
740,30.00 ,,,6500.00 ,,,
741,80.00 ,,,8000.00 ,,,
742,60.00 ,,,7200.00 ,10.00 ,300.00 ,
743,120.00 ,,,10000.00 ,,,
744,40.00 ,30.00 ,,5760.00 ,10.00 ,300.00 ,
745,20.00 ,,,4800.00 ,,,
746,100.00 ,,,10000.00 ,,,
747,,,,5200.00 ,,,
748,40.00 ,,,7000.00 ,,,
749,30.00 ,,,4200.00 ,,,
750,50.00 ,,,4500.00 ,,,
751,80.00 ,,,7000.00 ,,,
752,100.00 ,,,7000.00 ,30.00 ,600.00 ,
753,40.00 ,,,4000.00 ,,,
754,200.00 ,,,20000.00 ,,,
755,150.00 ,,,10000.00 ,30.00 ,,
756,80.00 ,,,8000.00 ,,,
757,20.00 ,,,1800.00 ,0.00 ,,
758,120.00 ,,,10000.00 ,,,
759,20.00 ,,,,,,
760,40.00 ,,,,,,
761,20.00 ,,,4800.00 ,20.00 ,300.00 ,2400.00 
762,100.00 ,,,,50.00 ,,
763,100.00 ,,,10000.00 ,,,
764,50.00 ,,,5000.00 ,,,
765,100.00 ,,,,,,
766,60.00 ,,,7000.00 ,,,
767,150.00 ,,,10000.00 ,,,
768,20.00 ,,,2800.00 ,,,
769,30.00 ,,,,,,
770,20.00 ,,,3000.00 ,0.00 ,,
771,200.00 ,,,10000.00 ,,,
772,50.00 ,,,5000.00 ,,500.00 ,
773,100.00 ,,,10000.00 ,,,
774,40.00 ,,,8000.00 ,,,
775,,,,,30.00 ,400.00 ,
776,80.00 ,,,15000.00 ,,,
777,80.00 ,,,,,,
778,100.00 ,,,10000.00 ,,,
779,120.00 ,,,,,,
780,150.00 ,,,15000.00 ,,,
781,20.00 ,,,,0.00 ,,
782,80.00 ,,,8000.00 ,,,
783,100.00 ,,,10000.00 ,,,
784,200.00 ,,,,,,
785,20.00 ,,,4700.00 ,,,
786,40.00 ,,,10000.00 ,,,
787,100.00 ,,,10000.00 ,,,
788,60.00 ,,,8000.00 ,,,
789,60.00 ,,,6000.00 ,,,
790,100.00 ,,,10000.00 ,,,
791,100.00 ,,,,,,
792,80.00 ,,,5000.00 ,,,
793,200.00 ,,,10000.00 ,,,
794,100.00 ,,,8000.00 ,,,
795,50.00 ,,,6000.00 ,,,
796,80.00 ,,,8000.00 ,,,
797,200.00 ,,,10000.00 ,,,
798,20.00 ,,20.00 ,,0.00 ,,
799,40.00 ,,,5000.00 ,20.00 ,300.00 ,
800,200.00 ,,,10000.00 ,,,
801,,,,2500.00 ,,,
802,30.00 ,,40.00 ,5200.00 ,,,
803,80.00 ,20.00 ,,7700.00 ,,,
804,50.00 ,,,5000.00 ,,,
805,100.00 ,,,10000.00 ,,,
806,100.00 ,,,,,,
807,50.00 ,30.00 ,,5760.00 ,10.00 ,300.00 ,2880.00 
808,200.00 ,,,,,,
809,20.00 ,60.00 ,,4800.00 ,20.00 ,300.00 ,2400.00 
810,30.00 ,,40.00 ,4800.00 ,20.00 ,,
811,,,,1500.00 ,,,
812,200.00 ,,,10000.00 ,,,
813,150.00 ,,,10000.00 ,,,
814,30.00 ,10.00 ,,5250.00 ,,,
815,40.00 ,,,6000.00 ,,,
816,50.00 ,,,5000.00 ,,,
817,20.00 ,20.00 ,30.00 ,3500.00 ,20.00 ,300.00 ,1750.00 
818,120.00 ,,,12000.00 ,,,
819,80.00 ,,,8000.00 ,,,
820,30.00 ,,,7200.00 ,20.00 ,,
821,120.00 ,,,12000.00 ,,,
822,20.00 ,10.00 ,,2500.00 ,20.00 ,300.00 ,
823,100.00 ,,,,,,
824,100.00 ,,,10000.00 ,,,
825,,,,3000.00 ,,,
826,100.00 ,,,8000.00 ,,,
827,100.00 ,,,,,,
828,,,,10000.00 ,,,
829,100.00 ,,,,20.00 ,400.00 ,
830,30.00 ,,40.00 ,5200.00 ,10.00 ,300.00 ,2600.00 
831,100.00 ,,,10000.00 ,,,
832,60.00 ,,,,,,
833,40.00 ,,50.00 ,4800.00 ,,,
834,30.00 ,,,4800.00 ,20.00 ,300.00 ,
835,,,,,,,
836,20.00 ,,,3000.00 ,0.00 ,,
837,150.00 ,,,15000.00 ,,,
838,180.00 ,,,8000.00 ,,,
839,100.00 ,,,8000.00 ,,,
840,80.00 ,,,5500.00 ,,,
841,20.00 ,,,,,,
842,100.00 ,,,10000.00 ,,,
843,100.00 ,,,,,,
844,30.00 ,,50.00 ,4500.00 ,,,
845,60.00 ,,,9000.00 ,,,9000.00 
846,80.00 ,,,8000.00 ,,,
847,40.00 ,,60.00 ,6000.00 ,,,
848,80.00 ,,,6000.00 ,,,
849,80.00 ,,,3000.00 ,30.00 ,400.00 ,
850,120.00 ,,,12000.00 ,,,
851,100.00 ,,,10000.00 ,,,
852,100.00 ,,,10000.00 ,,,
853,80.00 ,,,8000.00 ,10.00 ,800.00 ,
854,20.00 ,,,,0.00 ,,
855,,,,,10.00 ,450.00 ,
856,60.00 ,,,8000.00 ,,800.00 ,
857,30.00 ,,,,,,
858,40.00 ,,,,20.00 ,,
859,50.00 ,,,4000.00 ,,,
860,120.00 ,,,12000.00 ,,,
861,40.00 ,,50.00 ,4800.00 ,20.00 ,300.00 ,2400.00 
862,100.00 ,,,,,,
863,120.00 ,,,12000.00 ,,,
864,60.00 ,,,6000.00 ,,,
865,20.00 ,,,2400.00 ,10.00 ,300.00 ,
866,100.00 ,,,10000.00 ,,,
867,180.00 ,,,10000.00 ,,,
868,180.00 ,,,15000.00 ,,,
869,80.00 ,,,5000.00 ,,,
870,20.00 ,,,3000.00 ,20.00 ,,
871,120.00 ,,,6000.00 ,,,
872,50.00 ,,,8000.00 ,20.00 ,,
873,40.00 ,,60.00 ,,25.00 ,,
874,100.00 ,,,6000.00 ,,,
875,200.00 ,,,,,,
876,40.00 ,,,6000.00 ,,,
877,30.00 ,,60.00 ,,,,
878,30.00 ,,60.00 ,,,,
879,150.00 ,,,15000.00 ,,,
880,,,,3000.00 ,,,
881,100.00 ,,,10000.00 ,,,
882,40.00 ,,,5000.00 ,,,
883,50.00 ,,,10000.00 ,,,
884,30.00 ,,60.00 ,,,,
885,100.00 ,,,12000.00 ,,,
886,50.00 ,,60.00 ,6000.00 ,20.00 ,400.00 ,
887,60.00 ,,,6000.00 ,,,
888,30.00 ,,,4500.00 ,,,
889,40.00 ,,,4000.00 ,,,
890,100.00 ,,,10000.00 ,,,
891,40.00 ,20.00 ,,5200.00 ,,,
892,20.00 ,,,4000.00 ,,,
893,80.00 ,,,18000.00 ,,,
894,200.00 ,,,10000.00 ,,,
895,80.00 ,,,10000.00 ,,,
896,200.00 ,,,10000.00 ,,,
897,60.00 ,,,7000.00 ,,,
898,30.00 ,,,4800.00 ,20.00 ,300.00 ,2400.00 
899,,,,5000.00 ,,,
900,30.00 ,,40.00 ,4000.00 ,20.00 ,300.00 ,
901,30.00 ,,,4800.00 ,20.00 ,300.00 ,
902,120.00 ,,,,,,
903,60.00 ,,,8000.00 ,,,
904,,,,8000.00 ,,1000.00 ,
905,60.00 ,,,6000.00 ,,,
906,30.00 ,,50.00 ,4800.00 ,,,
907,30.00 ,,,8000.00 ,,,
908,120.00 ,,,12000.00 ,,,
909,120.00 ,,,12000.00 ,,,
910,80.00 ,,,7200.00 ,,,
911,,,,10000.00 ,,,
912,,,,8000.00 ,,,
913,80.00 ,,,9000.00 ,,1000.00 ,
914,100.00 ,,80.00 ,10000.00 ,,,
915,,,,3500.00 ,,,
916,100.00 ,,,5000.00 ,,,
917,,,,1500.00 ,,,
918,80.00 ,,,,,,
919,40.00 ,5000.00 ,,5000.00 ,,,
920,,,,1450.00 ,,,
921,160.00 ,,,,,,
922,,,,4000.00 ,,,
923,200.00 ,,,10000.00 ,,,
924,,,,4000.00 ,,,
925,180.00 ,,,5500.00 ,,,
926,100.00 ,,,10000.00 ,,,
927,100.00 ,,,10000.00 ,70.00 ,3000.00 ,8000.00 
928,60.00 ,,,5000.00 ,,,
929,30.00 ,,,,,,
930,20.00 ,,,2500.00 ,,,
931,150.00 ,,,10000.00 ,,,
932,150.00 ,,,10000.00 ,,,
933,150.00 ,,,12000.00 ,,,
934,80.00 ,,,5000.00 ,,,
935,100.00 ,,,20000.00 ,,,
936,100.00 ,,,20000.00 ,,,
937,50.00 ,,,,,,
938,30.00 ,,,3000.00 ,,,
939,,,,6500.00 ,,,
940,20.00 ,,,3840.00 ,,,
941,150.00 ,,,15000.00 ,,,
942,100.00 ,,,,,,
943,30.00 ,,,4000.00 ,,,
944,100.00 ,,,,,,
945,40.00 ,,,4000.00 ,,,
946,120.00 ,,,,,,
947,40.00 ,,,,0.00 ,,
948,40.00 ,,,4000.00 ,,,
949,100.00 ,,,10000.00 ,,,
950,150.00 ,,,12000.00 ,,,
951,100.00 ,,,10000.00 ,,,
952,80.00 ,,,10000.00 ,,,
953,150.00 ,,,10000.00 ,,,
954,,,,10000.00 ,,3000.00 ,
955,80.00 ,,,7200.00 ,,,
956,100.00 ,,,,,,
957,30.00 ,,,,20.00 ,100.00 ,
958,100.00 ,,,10000.00 ,,,
959,60.00 ,,,6000.00 ,,,
960,80.00 ,,,8000.00 ,,,
961,120.00 ,,,,,,
962,80.00 ,,,12000.00 ,,,
963,30.00 ,,,,0.00 ,,
964,80.00 ,,,8000.00 ,20.00 ,500.00 ,
965,100.00 ,,,10000.00 ,,,
966,80.00 ,,,4000.00 ,,,
967,60.00 ,,,8000.00 ,,,
968,40.00 ,20.00 ,,,,,
969,40.00 ,,,4800.00 ,,,
970,120.00 ,,,12000.00 ,,,
971,80.00 ,,,4000.00 ,,,
972,200.00 ,,,10000.00 ,,,
973,80.00 ,,,8000.00 ,,,
974,,,,2500.00 ,,,
975,40.00 ,,,7000.00 ,,,
976,40.00 ,,,7000.00 ,20.00 ,,
977,150.00 ,,,10000.00 ,,,
978,100.00 ,,,10000.00 ,,,
979,120.00 ,,,12000.00 ,,,
980,100.00 ,,,10000.00 ,,,
981,,,,6000.00 ,,,
982,30.00 ,,,3000.00 ,,,
983,,,,8000.00 ,,,
984,80.00 ,,,,,,
985,100.00 ,,,10000.00 ,20.00 ,2000.00 ,
986,100.00 ,,,10000.00 ,,,
987,30.00 ,,,4000.00 ,,,
988,,,,2000.00 ,,,
989,200.00 ,,,10000.00 ,,,
990,40.00 ,20.00 ,,4200.00 ,10.00 ,300.00 ,
991, ,,,200.00 ,,,
992,100.00 ,,,10000.00 ,,,
993,,,,15000.00 ,,1500.00 ,
994,150.00 ,,,12000.00 ,,,
995,80.00 ,,,6000.00 ,,,
996,100.00 ,,,10000.00 ,,,
997,60.00 ,,,6000.00 ,,,
998,30.00 ,,,,,,
999,120.00 ,,,10000.00 ,,,
1000,40.00 ,,,5500.00 ,,,
1001,30.00 ,,,,20.00 ,,
1002,20.00 ,,,,0.00 ,,
1003,30.00 ,,,,0.00 ,,
1004,30.00 ,,,,20.00 ,,
1005,80.00 ,,,6000.00 ,,,
1006,100.00 ,,,10000.00 ,,,
1007,100.00 ,,,10000.00 ,,,
1008,40.00 ,,,4200.00 ,20.00 ,300.00 ,
1009,60.00 ,,,,,,
1010,60.00 ,,,,,,
1011,20.00 ,,,,,,
1012,,,,,20.00 ,300.00 ,
1013,100.00 ,,,10000.00 ,,,
1014,100.00 ,,,8000.00 ,,,
1015,150.00 ,,,10000.00 ,,,
1016,150.00 ,,,10000.00 ,,,
1017,40.00 ,20.00 ,,,,,
1018,50.00 ,,,6000.00 ,,,
1019,100.00 ,,,10000.00 ,,,
1020,,,,2200.00 ,,,
1021,40.00 ,30.00 ,,,10.00 ,,
1022,50.00 ,,,7000.00 ,,,
1023,80.00 ,,,8000.00 ,,,
1024,100.00 ,,,,,,
1025,100.00 ,,,10000.00 ,,,
1026,150.00 ,,,10000.00 ,50.00 ,2000.00 ,
1027,60.00 ,,,6000.00 ,,,
1028,40.00 ,20.00 ,,,,,
1029,100.00 ,,,10000.00 ,,,
1030,20.00 ,,,,,,
1031,100.00 ,,,10000.00 ,,,
1032,100.00 ,,,,,,
1033,70.00 ,,,7000.00 ,,,
1034,120.00 ,,,10000.00 ,50.00 ,1000.00 ,
1035,100.00 ,,,10000.00 ,,,
1036,30.00 ,,,7200.00 ,0.00 ,,
1037,80.00 ,,,2000.00 ,,,
1038,90.00 ,,,6000.00 ,,,
1039,,,,1500.00 ,,,
1040,30.00 ,,40.00 ,6500.00 ,20.00 ,,
1041,,,,,20.00 ,300.00 ,
1042,80.00 ,,,,,,
1043,30.00 ,,,4000.00 ,20.00 ,800.00 ,
1044,90.00 ,,,4000.00 ,,,
1045,,,,10000.00 ,,,
1046,,,,1600.00 ,,,
1047,50.00 ,30.00 ,,7000.00 ,,,
1048,60.00 ,,,9000.00 ,,,
1049,30.00 ,,,2000.00 ,,,
1050,,,,,20.00 ,300.00 ,
1051,30.00 ,,,3500.00 ,,300.00 ,
1052,80.00 ,,,8000.00 ,,,
1053,70.00 ,20.00 ,,,,,
1054,40.00 ,,50.00 ,4800.00 ,,,
1055,,,,1800.00 ,,,
1056,120.00 ,,,12000.00 ,,,
1057,180.00 ,,,10000.00 ,,,
1058,120.00 ,,,12000.00 ,,,
1059,30.00 ,,,4000.00 ,10.00 ,300.00 ,
1060,20.00 ,,,4800.00 ,,,
1061,,,,4000.00 ,,,
1062,,,,2000.00 ,,,
1063,150.00 ,,,10000.00 ,,,
1064,,,,2000.00 ,,,
1065,100.00 ,,,10000.00 ,,,
1066,20.00 ,,,4800.00 ,,,
1067,,,,2500.00 ,,,
1068,,,,1500.00 ,,,
1069,,,,12000.00 ,,,
1070,,,,12000.00 ,,,
1071,80.00 ,,,,,,
1072,70.00 ,,,4500.00 ,,,
1073,200.00 ,,,10000.00 ,,,
1074,,,,2500.00 ,,,
1075,50.00 ,,,6000.00 ,,,
1076,,,,6000.00 ,,,
1077,100.00 ,,,,,,
1078,,,,,,800.00 ,
1079,20.00 ,,,,,,
1080,120.00 ,,,,,,
1081,150.00 ,,,10000.00 ,,,
1082,40.00 ,,,,,,
1083,70.00 ,,,6000.00 ,,,
1084,100.00 ,,,12000.00 ,,,
1085,100.00 ,,,6000.00 ,,,
1086,200.00 ,,,20000.00 ,,,
1087,80.00 ,,100.00 ,8000.00 ,,,
1088,120.00 ,,,12000.00 ,,,
1089,60.00 ,,,6000.00 ,,,
1090,100.00 ,,,10000.00 ,,,
1091,40.00 ,,,3500.00 ,,,
1092,200.00 ,,,10000.00 ,,,
1093,150.00 ,,,10000.00 ,,,
1094,80.00 ,,,12000.00 ,50.00 ,1000.00 ,
1095,100.00 ,,,,,,
1096,,,,6500.00 ,,,
1097,60.00 ,,,6000.00 ,,,
1098,60.00 ,,,6000.00 ,150.00 ,,
1099,80.00 ,,,8000.00 ,,,
1100,20.00 ,,,4200.00 ,10.00 ,300.00 ,
1101,30.00 ,,,4800.00 ,,,2400.00 
1102,40.00 ,,,4800.00 ,,,
1103,100.00 ,,,12000.00 ,10.00 ,2000.00 ,
1104,30.00 ,10.00 ,50.00 ,,,,
1105,120.00 ,,,,,,
1106,20.00 ,,,3000.00 ,0.00 ,,
1107,30.00 ,,,,,,
1108,200.00 ,,,10000.00 ,,,
1109,,,,6000.00 ,,,
1110,120.00 ,,,12000.00 ,,,
1111,20.00 ,,,4800.00 ,,,
1112,20.00 ,,,2000.00 ,,,
1113,40.00 ,,,4000.00 ,,,
1114,20.00 ,,,3600.00 ,,200.00 ,
1115,100.00 ,,,12000.00 ,,,
1116,20.00 ,,,4200.00 ,10.00 ,300.00 ,2100.00 
1117,40.00 ,,,,,,
1118,100.00 ,,,10000.00 ,,,
1119,200.00 ,,,10000.00 ,,,
1120,60.00 ,,,7200.00 ,,,
1121,20.00 ,,,,,,
1122,,,,2000.00 ,,,
1123,120.00 ,,,20000.00 ,,,
1124,,,,5000.00 ,,,
1125,80.00 ,,,,,,
1126,80.00 ,,,8000.00 ,,,
1127,50.00 ,,,,,,
1128,80.00 ,,,7200.00 ,,,
1129,120.00 ,,,12000.00 ,,,
1130,100.00 ,,,4000.00 ,,,
1131,30.00 ,,,1333.00 ,,,
1132,50.00 ,,,6000.00 ,,,
1133,80.00 ,,,8000.00 ,30.00 ,800.00 ,
1134,30.00 ,,60.00 ,5000.00 ,20.00 ,1000.00 ,
1135,30.00 ,,,,,,
1136,200.00 ,,,10000.00 ,,,
1137,100.00 ,,,10000.00 ,,,
1138,40.00 ,,,,,,
1139,,,,,,,
1140,100.00 ,,,10000.00 ,,,
1141,100.00 ,,,10000.00 ,,,
1142,150.00 ,,,12000.00 ,,,
1143,50.00 ,,,,20.00 ,,
1144,,,,2500.00 ,,,
1145,200.00 ,,,10000.00 ,,,
1146,100.00 ,,,12000.00 ,,,
1147,80.00 ,,,8000.00 ,,,
1148,,,,12000.00 ,,,
1149,150.00 ,,,10000.00 ,,,
1150,100.00 ,,,10000.00 ,,,
1151,,,,4200.00 ,,,
1152,160.00 ,,,,,,
1153,40.00 ,,,,,,
1154,50.00 ,,,5000.00 ,,,
1155,120.00 ,,,12000.00 ,,,
1156,100.00 ,,,10000.00 ,,,
1157,150.00 ,,,10000.00 ,,,
1158,150.00 ,,,10000.00 ,,,
1159,100.00 ,,,9000.00 ,,,
1160,150.00 ,,,15000.00 ,,,
1161,200.00 ,,,10000.00 ,,,
1162,30.00 ,,,,,,
1163,80.00 ,,,,,,
1164,,,,12000.00 ,,,
1165,,,,12000.00 ,,,
1166,100.00 ,,,10000.00 ,,,
1167,80.00 ,,,10000.00 ,20.00 ,,
1168,100.00 ,,,10000.00 ,,,
1169,70.00 ,,100.00 ,7200.00 ,,,
1170,,,,6000.00 ,,300.00 ,
1171,100.00 ,,,10000.00 ,,,
1172,100.00 ,,,12000.00 ,10.00 ,300.00 ,
1173,100.00 ,,,10000.00 ,,,
1174,100.00 ,,,,,,
1175,100.00 ,,,10000.00 ,,,
1176,60.00 ,,80.00 ,,,,
1177,100.00 ,,,8000.00 ,,,
1178,100.00 ,,,,20.00 ,,
1179,,,,,20.00 ,300.00 ,
1180,200.00 ,,,18000.00 ,,,
1181,,,,,10.00 ,200.00 ,
1182,40.00 ,,,3000.00 ,,,
1183,30.00 ,,,5000.00 ,10.00 ,300.00 ,2500.00 
1184,80.00 ,,,8000.00 ,,,
1185,,,,2000.00 ,0.00 ,,
1186,50.00 ,,,5000.00 ,,,
1187,150.00 ,,,10000.00 ,,,
1188,200.00 ,,,10000.00 ,,,
1189,200.00 ,,,10000.00 ,,,
1190,80.00 ,,,4000.00 ,,,
1191,120.00 ,,,12000.00 ,,1000.00 ,
1192,100.00 ,,,8000.00 ,10.00 ,300.00 ,
1193,20.00 ,,,,,,
1194,40.00 ,,,,,,
1195,30.00 ,,,,30.00 ,,
1196,50.00 ,,,5000.00 ,,,
1197,100.00 ,,,8000.00 ,,,
1198,40.00 ,,,,,,
1199,20.00 ,,,4800.00 ,,,
1200,120.00 ,,,,,,
1201,,,,12000.00 ,,,
1202,70.00 ,,,5000.00 ,,,
1203,,,,,20.00 ,,
1204,,,,,20.00 ,,
1205,80.00 ,,,8000.00 ,,,
1206,,,,7000.00 ,,,
1207,200.00 ,,,10000.00 ,,,
1208,30.00 ,,,7200.00 ,10.00 ,300.00 ,
1209,70.00 ,,,7000.00 ,,,
1210,,,,3000.00 ,,,
1211,,,,,20.00 ,600.00 ,
1212,100.00 ,,,10000.00 ,,,
1213,50.00 ,,,1000.00 ,,,
1214,70.00 ,,,5000.00 ,,,
1215,,,,,100.00 ,,
1216,120.00 ,,,,,,
1217,100.00 ,,,5500.00 ,,,
1218,30.00 ,,60.00 ,3000.00 ,30.00 ,400.00 ,
1219,150.00 ,,,10000.00 ,,,
1220,40.00 ,,,8000.00 ,,,
1221,120.00 ,,,12000.00 ,,,
1222,120.00 ,,,12000.00 ,,,
1223,,,,10000.00 ,,,
1224,100.00 ,,,10000.00 ,,,
1225,30.00 ,,,,,,
1226,80.00 ,,,8000.00 ,,,
1227,40.00 ,20.00 ,40.00 ,2000.00 ,,300.00 ,
1228,60.00 ,,,7200.00 ,,,
1229,200.00 ,,,,,,
1230,40.00 ,,,5000.00 ,,,
1231,,,,4500.00 ,,,
1232,30.00 ,,,2000.00 ,,,
1233,20.00 ,,,3000.00 ,,,2500.00 
1234,60.00 ,,,10000.00 ,30.00 ,600.00 ,
1235,100.00 ,,,,,,
1236,,,,4300.00 ,,1000.00 ,
1237,80.00 ,,,,,,
1238,,,,7000.00 ,,,
1239,200.00 ,,,,,,
1240,50.00 ,,,8500.00 ,,,
1241,,,,2000.00 ,,,
1242,60.00 ,,,6000.00 ,,,
1243,100.00 ,,,,,,
1244,80.00 ,,,16000.00 ,,,
1245,100.00 ,,,,,,
1246,40.00 ,20.00 ,,,10.00 ,,
1247,40.00 ,,60.00 ,5000.00 ,20.00 ,,
1248,60.00 ,,,1200.00 ,,,
1249,180.00 ,,,,,,
1250,150.00 ,,,,,,
1251,60.00 ,,,5000.00 ,,,
1252,,,,12000.00 ,,,
1253,180.00 ,,,6000.00 ,,,
1254,200.00 ,,,10000.00 ,50.00 ,,
1255,100.00 ,,,5000.00 ,,,
1256,30.00 ,,40.00 ,4800.00 ,20.00 ,300.00 ,
1257,40.00 ,,,4800.00 ,10.00 ,300.00 ,2400.00 
1258,20.00 ,,,1500.00 ,,,
1259,20.00 ,,,4800.00 ,,300.00 ,
1260,100.00 ,,,8000.00 ,,,
1261,,,,6000.00 ,,,
1262,100.00 ,,,3000.00 ,,,
1263,50.00 ,,,,,,
1264,60.00 ,,,6000.00 ,,,
1265,120.00 ,,,12000.00 ,,,
1266,150.00 ,,,12000.00 ,,,
1267,100.00 ,,,10000.00 ,,,
1268,,,,,,,
1269,30.00 ,,,3600.00 ,,,
1270,100.00 ,,,10000.00 ,,,
1271,80.00 ,,,,,,
1272,20.00 ,,,,0.00 ,,
1273,250.00 ,,,15000.00 ,,,
1274,100.00 ,,,10000.00 ,,,
1275,100.00 ,,,10000.00 ,20.00 ,,800.00 
1276,30.00 ,,50.00 ,,,,
1277,100.00 ,,,,,,
1278,20.00 ,,,,,,
1279,60.00 ,,,15000.00 ,,,
1280,20.00 ,,,2167.00 ,,,
1281,20.00 ,,,2167.00 ,,,
1282,100.00 ,,,10000.00 ,,,
1283,120.00 ,,,12000.00 ,,600.00 ,
1284,40.00 ,20.00 ,20.00 ,4800.00 ,10.00 ,300.00 ,
1285,60.00 ,,,8000.00 ,50.00 ,500.00 ,
1286,100.00 ,,,,,,
1287,60.00 ,,,6000.00 ,,,
1288,200.00 ,,,10000.00 ,,,
1289,100.00 ,,,10000.00 ,,,
1290,60.00 ,,,5000.00 ,,,
1291,50.00 ,,,5000.00 ,,,
1292,100.00 ,,,,,,
1293,20.00 ,,,4800.00 ,10.00 ,300.00 ,4800.00 
1294,,,,4000.00 ,,,
1295,80.00 ,,,8000.00 ,,,1500.00 
1296,,,,4800.00 ,,,
1297,30.00 ,,,4600.00 ,10.00 ,300.00 ,2300.00 
1298,90.00 ,,,6000.00 ,,,
1299,30.00 ,,,4800.00 ,,,
1300,100.00 ,,,10000.00 ,,,
1301,100.00 ,,,10000.00 ,,,
1302,100.00 ,,,8000.00 ,,,
1303,100.00 ,,,8000.00 ,,,
1304,40.00 ,20.00 ,20.00 ,4800.00 ,10.00 ,300.00 ,
1305,40.00 ,,,5000.00 ,,,
1306,50.00 ,,,,,,
1307,100.00 ,,,10000.00 ,,,
1308,60.00 ,,,6500.00 ,,,
1309,100.00 ,,,,,,
1310,,,,,30.00 ,,
