,小型車日間(元/時或次）,小型車夜間(元/時),小型車假日與特殊日(元/時）,小型車月租(元/月),機車單次(元/時或次),機車月租(元/月),大型重型機車月租(元/月)
142,50.00 ,,,6000.00 ,,,
143,100.00 ,,,4000.00 ,25.00 ,,
144,50.00 ,,,6000.00 ,,,
145,40.00 ,30.00 ,,4500.00 ,,,2000.00 
146,80.00 ,,,,,,
147,30.00 ,,,5000.00 ,,,
148,30.00 ,,,7200.00 ,,,
149,40.00 ,10.00 ,50.00 ,6500.00 ,,,
150,40.00 ,30.00 ,,5760.00 ,,,2880.00 
151,20.00 ,30.00 ,30.00 ,4500.00 ,,,
152,30.00 ,,,,20.00 ,,
153,80.00 ,,,,,,
154,20.00 ,,30.00 ,,20.00 ,,
155,30.00 ,,40.00 ,4800.00 ,,,
156,30.00 ,,,7200.00 ,,,
157,30.00 ,10.00 ,40.00 ,6500.00 ,,,
158,40.00 ,10.00 ,50.00 ,6500.00 ,,,
159,80.00 ,,,,,,
160,20.00 ,,,,,,
161,120.00 ,,,12000.00 ,,,
162,40.00 ,10.00 ,,4000.00 ,,,
163,30.00 ,,,7200.00 ,,,
164,40.00 ,,,,,,
165,100.00 ,,,5000.00 ,,,
166,30.00 ,,,,,,
167,30.00 ,,,,,,
168,80.00 ,,,12000.00 ,,,
169,80.00 ,,,2000.00 ,,200.00 ,
170,30.00 ,,,5250.00 ,,,2625.00 
171,20.00 ,,,4800.00 ,,,
172,120.00 ,,,,,,
173,80.00 ,,,1800.00 ,,,
174,30.00 ,,,,20.00 ,,
175,40.00 ,,,,,,
176,80.00 ,,,2000.00 ,,,
177,30.00 ,,,,,,
178,40.00 ,,,,,,
179,100.00 ,,,,,,
180,150.00 ,,,8000.00 ,,,
181,80.00 ,,,10000.00 ,10.00 ,300.00 ,
182,200.00 ,,,20000.00 ,,,
183,120.00 ,,,12000.00 ,,,
184,80.00 ,,,,,,
185,30.00 ,,,7200.00 ,,,
186,100.00 ,,,10000.00 ,,,
187,30.00 ,,,4500.00 ,,,
188,80.00 ,,,10000.00 ,,,
189,20.00 ,,,,,,
190,60.00 ,30.00 ,60.00 ,3000.00 ,,,
191,100.00 ,,,,,1000.00 ,
192,60.00 ,,,4000.00 ,,,
193,60.00 ,,,7000.00 ,20.00 ,,
194,60.00 ,,,7000.00 ,20.00 ,,
195,60.00 ,,,7000.00 ,20.00 ,,
196,60.00 ,20.00 ,,5500.00 ,,,
197,20.00 ,,,4800.00 ,,,
198,20.00 ,,,4800.00 ,,,
199,20.00 ,,,,,,
200,20.00 ,,,4800.00 ,,,
201,20.00 ,,,4800.00 ,,,
202,100.00 ,,,10000.00 ,,,
203,40.00 ,10.00 ,,3800.00 ,20.00 ,,
204,200.00 ,,,10000.00 ,,,
205,80.00 ,,,,,,
206,80.00 ,,,,,,
207,,,,4500.00 ,,,
208,100.00 ,,,6000.00 ,,,
209,20.00 ,,,4800.00 ,,,
210,,,,6000.00 ,,,
211,,,,3000.00 ,,,
212,60.00 ,,,7000.00 ,,,
213,60.00 ,,,8000.00 ,,,
214,50.00 ,,,5500.00 ,,,
215,120.00 ,,,15000.00 ,,,
216,200.00 ,,,,,,
217,,,,12000.00 ,,,
218,120.00 ,,,12000.00 ,,,
219,200.00 ,,,18000.00 ,,,
220,30.00 ,10.00 ,,5000.00 ,0.00 ,,
221,30.00 ,10.00 ,,5000.00 ,0.00 ,,
222,30.00 ,10.00 ,,5000.00 ,0.00 ,,
223,30.00 ,10.00 ,,5000.00 ,0.00 ,,
224,30.00 ,10.00 ,,5000.00 ,0.00 ,,
225,30.00 ,10.00 ,,5000.00 ,0.00 ,,
226,30.00 ,10.00 ,,5000.00 ,0.00 ,,
227,30.00 ,10.00 ,,5000.00 ,0.00 ,,
228,30.00 ,10.00 ,,5000.00 ,0.00 ,,
229,30.00 ,10.00 ,,5000.00 ,0.00 ,,
230,30.00 ,10.00 ,,5000.00 ,0.00 ,,
231,30.00 ,10.00 ,,5000.00 ,0.00 ,,
232,20.00 ,,,3000.00 ,20.00 ,300.00 ,
233,50.00 ,,60.00 ,5200.00 ,10.00 ,300.00 ,2600.00 
234,20.00 ,10.00 ,,2400.00 ,,,
235,20.00 ,,,4800.00 ,,,
236,30.00 ,,,7200.00 ,0.00 ,,
237,30.00 ,,,7200.00 ,,,
238,20.00 ,,,6000.00 ,0.00 ,,
239,20.00 ,,,3000.00 ,0.00 ,,
240,30.00 ,,,7200.00 ,,,
241,30.00 ,,,7200.00 ,0.00 ,,
242,50.00 ,10.00 ,10.00 ,7200.00 ,10.00 ,,
243,20.00 ,20.00 ,,,0.00 ,,
244,20.00 ,,,4800.00 ,,,
245,20.00 ,,,3600.00 ,,,
246,20.00 ,,,,,,
247,100.00 ,,,7500.00 ,,,
248,40.00 ,,,4500.00 ,,,
249,40.00 ,20.00 ,,8000.00 ,,,
250,80.00 ,,,10000.00 ,,,
251,200.00 ,,,20000.00 ,,,
252,140.00 ,,,,,,
253,60.00 ,,,,,,
254,40.00 ,,50.00 ,4000.00 ,,,
255,150.00 ,,,15000.00 ,,,
256,30.00 ,,,8000.00 ,10.00 ,400.00 ,
257,50.00 ,,,,,,
258,50.00 ,,,,10.00 ,,
259,70.00 ,,,,,,
260,100.00 ,,,,,,
261,120.00 ,,,12000.00 ,,,
262,100.00 ,,,10000.00 ,,,
263,80.00 ,,,,,,
264,,,,10000.00 ,,,
265,100.00 ,120.00 ,,,20.00 ,,
266,150.00 ,,,8000.00 ,,,
267,,,,10000.00 ,,1200.00 ,
268,150.00 ,,,8000.00 ,,,
269,150.00 ,,,8000.00 ,,,
270,150.00 ,,,8000.00 ,,,
271,40.00 ,,,,20.00 ,,
272,30.00 ,,,6500.00 ,,,
273,80.00 ,,,7000.00 ,,,
274,140.00 ,,,,,,
275,180.00 ,,,15000.00 ,,,
276,180.00 ,,,15000.00 ,,,
277,100.00 ,,,10000.00 ,,,
278,30.00 ,,,7200.00 ,,,
279,40.00 ,,,,20.00 ,3000.00 ,
280,60.00 ,,,,,,
281,180.00 ,,,8000.00 ,,,
282,60.00 ,,,,,,
283,150.00 ,,,10000.00 ,,,
284,120.00 ,,,,20.00 ,,
285,30.00 ,10.00 ,,5200.00 ,,,
286,50.00 ,,,,,,
287,30.00 ,,,,,,
288,40.00 ,,,,,,
289,100.00 ,,,10000.00 ,,,
290,30.00 ,,,3000.00 ,,,
291,100.00 ,,,10000.00 ,,,
292,80.00 ,,,8000.00 ,,,
293,80.00 ,,,6000.00 ,,,
294,180.00 ,,,15000.00 ,,,
295,,,,3500.00 ,,,
296,150.00 ,,,10000.00 ,,,
297,20.00 ,,,4800.00 ,,,
298,200.00 ,,,,,,
299,50.00 ,60.00 ,,6500.00 ,20.00 ,,
300,50.00 ,60.00 ,,6500.00 ,,,
301,60.00 ,,,4500.00 ,,,
302,30.00 ,,,4800.00 ,20.00 ,300.00 ,
303,50.00 ,,,,,,
304,80.00 ,,,7000.00 ,,,
305,50.00 ,,,6000.00 ,,,
306,80.00 ,,,,,,
307,120.00 ,,,,,,
308,80.00 ,,,10000.00 ,50.00 ,,
309,120.00 ,,,12000.00 ,,,
310,80.00 ,,,,,,
311,80.00 ,,,,,,
312,20.00 ,,,4800.00 ,,,
313,30.00 ,,,,30.00 ,,
314,40.00 ,,,7000.00 ,,,
315,30.00 ,,,4800.00 ,20.00 ,300.00 ,
316,30.00 ,,,5000.00 ,,,
317,180.00 ,,,10000.00 ,,,
318,40.00 ,,,5500.00 ,,,
319,80.00 ,,,8000.00 ,,,
320,70.00 ,,,,,,
321,50.00 ,,,4500.00 ,,,
322,60.00 ,,,,,,
323,120.00 ,,,12000.00 ,,,
324,80.00 ,,,9000.00 ,,,
325,40.00 ,,,6600.00 ,20.00 ,,
326,40.00 ,,50.00 ,,,,
327,30.00 ,10.00 ,40.00 ,3200.00 ,,,
328,,,,10000.00 ,,,
329,,,,7000.00 ,,,
330,80.00 ,,,8000.00 ,,,
