中山區,中正區,信義區,內湖區,北投區,南港區,士林區,大同區,大安區,文山區,松山區,萬華區,type,serviceTime,totalcar_std,totalmotor_std,totalbike_std,Pregnancy_First_std,Handicap_First_std,totallargemotor_std,ChargingStation_std,farecar_weekday_std,farecar_night_std,farecar_haliday_std,farecar_month_std,faremotor_day/hour_std,faremotor_month_std,largemotor_month_std,car_and_largemotor,mixed_parking_lot,monthly_rent,motor
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,-0.484549153493423,-0.25467963779279307,-0.07693595408562456,-0.3367244593059453,-0.403115309489658,-0.12222697575434881,-0.2919101199948778,0.3841688924556224,-0.05360435651719768,-0.2439343641025465,0.8961586426388436,-0.3243358438940008,-0.22536011708789833,0.0422154803649541,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.3118222021009691,-0.25467963779279307,-0.07693595408562456,1.2950940742536357,0.7702233993431761,-0.12222697575434881,-0.2919101199948778,-0.032479466424136454,0.05198883712944912,7.004105706319728,-0.30631610926992336,-0.3243358438940008,-0.22536011708789833,0.0422154803649541,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2.000996118398189,-0.25467963779279307,6.634246502306549,2.6549428522199534,1.7088943664094434,-0.12222697575434881,4.054165277040458,-0.5880106115971483,-0.05360435651719768,-0.2439343641025465,-0.05316352992070929,-0.3243358438940008,-0.22536011708789833,0.0422154803649541,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,-0.26423945893939377,-0.25467963779279307,-0.07693595408562456,-0.3367244593059453,-0.403115309489658,-0.12222697575434881,-0.2919101199948778,1.078582823921887,-0.05360435651719768,-0.2439343641025465,-0.05316352992070929,-0.3243358438940008,-0.22536011708789833,0.0422154803649541,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,6.356349310735536,-0.25467963779279307,-0.07693595408562456,6.734489186118906,5.463578234674512,-0.12222697575434881,-0.2919101199948778,-0.1713622527173894,-0.025274475294926584,4.133594787340609,-1.1290619921548692,-0.3243358438940008,-0.22536011708789833,0.0422154803649541,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2.3455830765467987,7.99356652778116,-0.07693595408562456,2.6549428522199534,1.9435621081760102,-0.12222697575434881,3.329819377534569,-0.3102450390106424,-0.025274475294926584,4.133594787340609,-0.749333123131048,1.4233788460649073,0.6585421757657942,0.0422154803649541,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.012559900884899368,-0.25467963779279307,-0.07693595408562456,0.7511545630671087,0.06622017404347565,-0.12222697575434881,0.4324357795110116,-0.4491278253038953,0.0004799621798653185,-0.2439343641025465,-0.3696042541072269,-0.3243358438940008,-0.22536011708789833,0.0422154803649541,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,-0.15126012839886596,-0.25467963779279307,-0.07693595408562456,0.2072150518805817,-0.1684475677230912,-0.12222697575434881,-0.2919101199948778,-0.4491278253038953,0.02623439965465722,-0.2439343641025465,-1.6353671508532974,-0.3243358438940008,-0.22536011708789833,0.0422154803649541,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,-0.44500638780423823,-0.25467963779279307,-0.07693595408562456,-0.3367244593059453,-0.403115309489658,-0.12222697575434881,0.4324357795110116,-0.3102450390106424,-0.05360435651719768,-0.2439343641025465,-0.05316352992070929,-0.3243358438940008,-0.22536011708789833,0.0422154803649541,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,8.864490448735253,1.1125432595860714,-0.07693595408562456,8.638277475271751,14.380952421804052,12.872028384129857,1.5189546287698457,-0.7268933978904012,-0.025274475294926584,1.9807115981062706,-1.002485702480262,1.4233788460649073,0.6585421757657942,0.0422154803649541,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.9106126539657664,-0.25467963779279307,-0.07693595408562456,2.111003341033426,1.4742266246428766,0.8059341213802373,2.9676464277816246,-0.3102450390106424,-0.025274475294926584,4.133594787340609,-0.749333123131048,-0.3243358438940008,-0.22536011708789833,0.0422154803649541,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,-0.484549153493423,-0.25467963779279307,-0.07693595408562456,-0.3367244593059453,-0.403115309489658,-0.12222697575434881,-0.2919101199948778,1.078582823921887,-0.05360435651719768,-0.2439343641025465,-0.05316352992070929,-0.3243358438940008,-0.22536011708789833,0.0422154803649541,1.0,0.0,0.0,0.0
