antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ChargingStation=0.0'}),"frozenset({'type2=2.0', 'Pregnancy_First=0.0'})",0.7289494787489976,0.42742582197273454,0.4194065757818765,0.5753575357535753,1.3460991502527362,1.0,0.10783474565098983,1.3483676886704257,0.9485784108522749,0.5690968443960828,0.2583625309309641,0.778297904837388
frozenset({'ChargingStation=0.0'}),"frozenset({'Pregnancy_First=1.0', 'type2=2.0'})",0.7289494787489976,0.07257417802726544,0.06054530874097835,0.08305830583058306,1.1444608549252715,1.0,0.0076423994973662465,1.0114337998478893,0.4656922293193304,0.0817099567099567,0.011304545932327771,0.4586562247384959
"frozenset({'farecar_haliday=0.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.6920609462710505,0.5,0.4667201283079391,0.6743916570104288,1.3487833140208576,1.0,0.12068965517241381,1.5355871886121,0.8397475479667814,0.6434494195688226,0.3487833140208576,0.8039159568131535
frozenset({'ChargingStation=0.0'}),"frozenset({'farecar_haliday=0.0', 'type2=2.0'})",0.7289494787489976,0.4843624699278268,0.4667201283079391,0.6402640264026402,1.3218696041789608,1.0,0.1136443583284727,1.4333777212098024,0.8983407552003904,0.6251342642320086,0.30234718650714215,0.8019200926715189
"frozenset({'ChargingStation=0.0', 'farecar_month=1.0'})",frozenset({'type2=2.0'}),0.7076984763432237,0.5,0.4723336006415397,0.6674220963172804,1.3348441926345609,1.0,0.11848436246992783,1.5034071550255537,0.8581853878024411,0.6423118865866958,0.3348441926345609,0.8060446488001799
frozenset({'ChargingStation=0.0'}),"frozenset({'type2=2.0', 'farecar_month=1.0'})",0.7289494787489976,0.49238171611868486,0.4723336006415397,0.6479647964796479,1.315980620863389,1.0,0.11341220533128743,1.4419531876503604,0.88585105634864,0.6306209850107065,0.30649621044252906,0.8036240920508988
"frozenset({'farecar_night=0.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.6976744186046512,0.5,0.46431435445068164,0.6655172413793103,1.3310344827586207,1.0,0.11547714514835605,1.4948453608247423,0.8226385013949781,0.633132859486058,0.3310344827586207,0.7970729751403368
frozenset({'ChargingStation=0.0'}),"frozenset({'farecar_night=0.0', 'type2=2.0'})",0.7289494787489976,0.48115477145148355,0.46431435445068164,0.6369636963696369,1.3238228822882288,1.0,0.11357683460352963,1.4291827659109133,0.9024588404819575,0.6225806451612904,0.30029942716064484,0.8009818481848185
"frozenset({'farecar_weekday=0.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.08580593424218123,0.5,0.058941459502806735,0.6869158878504673,1.3738317757009346,1.0,0.01603849238171612,1.5970149253731345,0.29764888411504953,0.11187214611872147,0.3738317757009346,0.40239940342804037
frozenset({'farecar_weekday=0.0'}),"frozenset({'type2=2.0', 'ChargingStation=0.0'})",0.09663191659983962,0.47995188452285487,0.058941459502806735,0.6099585062240663,1.2708742811385307,1.0,0.012562789025658369,1.3333148492552336,0.23593938241075385,0.11386522075910147,0.24998960256192862,0.366382761883963
